id	node_type	date	site	colony	local	caste	n_ants	n_parasitized	prevalence
2018-10-08|UFT|15|trail|worker|r1	sample	2018-10-08	UFT	15	trail	worker	209	9	4.306
2018-10-08|UFT|15|mound|soldier|r1	sample	2018-10-08	UFT	15	mound	soldier	113	0	0
2018-10-08|UFT|15|mound|worker|r1	sample	2018-10-08	UFT	15	mound	worker	103	1	0.971
2018-10-08|UFT|16|trail|soldier|r1	sample	2018-10-08	UFT	16	trail	soldier	94	0	0
2018-10-08|UFT|16|trail|worker|r1	sample	2018-10-08	UFT	16	trail	worker	352	7	1.989
2018-10-22|UFT|14|trail|soldier|r1	sample	2018-10-22	UFT	14	trail	soldier	157	0	0
2018-10-22|UFT|14|trail|worker|r1	sample	2018-10-22	UFT	14	trail	worker	459	2	0.436
2018-10-22|UFT|14|mound|soldier|r1	sample	2018-10-22	UFT	14	mound	soldier	285	0	0
2018-10-22|UFT|14|mound|worker|r1	sample	2018-10-22	UFT	14	mound	worker	418	0	0
2018-10-22|UFT|15|trail|soldier|r1	sample	2018-10-22	UFT	15	trail	soldier	176	0	0
2018-10-22|UFT|15|trail|worker|r1	sample	2018-10-22	UFT	15	trail	worker	212	65	30.66
2018-10-22|UFT|15|mound|soldier|r1	sample	2018-10-22	UFT	15	mound	soldier	151	0	0
2018-10-22|UFT|15|mound|worker|r1	sample	2018-10-22	UFT	15	mound	worker	216	1	0.463
2018-10-22|UFT|16|trail|soldier|r1	sample	2018-10-22	UFT	16	trail	soldier	159	0	0
2018-10-22|UFT|16|trail|worker|r1	sample	2018-10-22	UFT	16	trail	worker	414	47	11.353
2018-11-05|UFT|14|mound|soldier|r1	sample	2018-11-05	UFT	14	mound	soldier	151	0	0
2018-11-05|UFT|14|mound|worker|r1	sample	2018-11-05	UFT	14	mound	worker	363	0	0
2018-11-05|UFT|15|trail|soldier|r1	sample	2018-11-05	UFT	15	trail	soldier	123	0	0
2018-11-05|UFT|15|trail|worker|r1	sample	2018-11-05	UFT	15	trail	worker	411	126	30.657
2018-11-05|UFT|15|mound|soldier|r1	sample	2018-11-05	UFT	15	mound	soldier	155	0	0
2018-11-05|UFT|15|mound|worker|r1	sample	2018-11-05	UFT	15	mound	worker	355	5	1.408
2018-11-05|UFT|16|trail|soldier|r1	sample	2018-11-05	UFT	16	trail	soldier	121	2	1.653
2018-11-05|UFT|16|trail|worker|r1	sample	2018-11-05	UFT	16	trail	worker	439	86	19.59
2019-01-30|UFT|17|trail|soldier|r1	sample	2019-01-30	UFT	17	trail	soldier	55	0	0
2019-01-30|UFT|17|trail|worker|r1	sample	2019-01-30	UFT	17	trail	worker	684	11	1.608
2019-01-30|UFT|17|mound|soldier|r1	sample	2019-01-30	UFT	17	mound	soldier	87	0	0
2019-01-30|UFT|17|mound|worker|r1	sample	2019-01-30	UFT	17	mound	worker	733	4	0.546
2019-01-30|UFT|18|trail|soldier|r1	sample	2019-01-30	UFT	18	trail	soldier	59	0	0
2019-01-30|UFT|18|trail|worker|r1	sample	2019-01-30	UFT	18	trail	worker	434	86	19.816
2019-01-30|UFT|18|mound|soldier|r1	sample	2019-01-30	UFT	18	mound	soldier	68	0	0
2019-01-30|UFT|18|mound|worker|r1	sample	2019-01-30	UFT	18	mound	worker	539	4	0.742
A_attophilus	parasite	NA	NA	NA	NA	NA	NA	NA	NA
A_vicosae	parasite	NA	NA	NA	NA	NA	NA	NA	NA
N_erthali	parasite	NA	NA	NA	NA	NA	NA	NA	NA
M_grandicornis	parasite	NA	NA	NA	NA	NA	NA	NA	NA
